Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
455,Kirkwood Elementary School District,31.1,"$11,309","$58,750"
456,Cayucos Elementary School District,31.11,"$18,712","$63,175"
457,Black Butte Union School District,31.17,"$13,521","$46,939"
458,South San Francisco Unified School District,31.24,"$12,036","$98,757"
459,Pierce J. T. Unified School District,31.36,"$10,849","$61,006"
460,Millville Elementary School District,31.46,"$9,954","$65,694"
461,Fort Sage Unified School District,31.54,"$13,201","$48,382"
462,Montebello Unified School District,31.54,"$12,986","$49,521"
463,Salida Union Elementary School District,31.58,"$8,539","$73,134"
464,Gustine Unified School District,31.64,"$11,500","$57,353"
465,Centinela Valley Union High School District,31.77,"$12,662","$51,085"
466,San Bruno Park Elementary School District,31.77,"$11,347","$102,793"
467,Maple Elementary School District,31.88,"$9,442","$68,125"
468,Tulelake Basin Joint Unified School District,32.18,"$14,975","$38,500"
469,Conejo Valley Unified School District,32.42,"$10,744","$106,452"
470,Castaic Union School District,32.47,"$10,350","$108,584"
471,Sonora Union High School District,32.63,"$11,941","$54,309"
472,Chualar Elementary School District,32.69,"$12,091","$53,472"
473,Livingston Union School District,32.74,"$12,361","$52,004"
474,Edison Elementary School District,32.75,"$12,867","$49,306"
475,Shasta Union High School District,32.84,"$12,289","$52,315"
476,Placerville Union Elementary School District,32.88,"$10,386","$62,404"
477,Lincoln Unified School District,32.91,"$10,517","$61,686"
478,Chatom Union School District,32.96,"$12,813","$49,446"
479,Acton-Agua Dulce Unified School District,33.07,"$3,161","$100,676"
480,Laton Joint Unified School District,33.16,"$13,994","$43,021"
481,Rim World Unified School District,33.18,"$11,281","$57,433"
482,Cuddeback Elementary School District,33.31,"$10,839","$59,688"
483,Yucaipa Joint Unified School District,33.38,"$10,061","$63,778"
484,Scott Valley Unified School District,33.46,"$12,749","$49,428"
485,Bayshore Elementary School District,33.54,"$13,730","$91,366"
486,Tehachapi Unified School District,33.58,"$10,066","$63,607"
487,Hanford Elementary School District,33.72,"$11,618","$55,264"
488,Keyes Union Elementary School District,33.75,"$11,640","$55,124"
489,Bishop Unified School District,33.8,"$11,574","$55,437"
490,Lompoc Unified School District,33.82,"$10,801","$59,535"
491,South Bay Union Elementary School District,33.84,"$10,239","$62,508"
492,South Monterey County Joint Union High School District,33.89,"$12,027","$52,969"
493,Union Hill Elementary School District,33.93,"$9,554","$66,083"
494,Palmdale Elementary School District,33.94,"$12,106","$52,509"
495,Montague Elementary School District,34.01,"$12,656","$49,536"
496,Jamestown Elementary School District,34.07,"$12,811","$48,674"
497,Stoney Creek Joint Unified School District,34.08,"$23,294","$40,909"
498,Reeds Creek Elementary School District,34.1,"$9,169","$68,011"
499,Yuba City Unified School District,34.11,"$11,581","$55,186"
500,Inglewood Unified School District,34.26,"$12,149","$52,059"
501,Knights Ferry Elementary School District,34.28,"$8,458","$71,667"
502,El Nido School District,34.34,"$13,765","$43,409"
503,Sundale Unified Elementary School District,34.92,"$10,035","$62,832"
504,San Jose Unified School District,35.19,"$11,570","$104,013"
505,Mountain Elementary School District,35.28,"$12,748","$97,813"
506,Dehesa Elementary School District,35.31,"$2,207","$104,167"
507,Merced Union High School District,35.51,"$12,554","$49,028"
508,Traver Joint Elementary School District,35.61,"$13,144","$45,819"
509,River Delta Unified School District,35.61,"$10,048","$62,274"
510,Merced River Union Elementary School District,35.64,"$11,403","$55,052"
511,Chicago Park Elementary School District,35.64,"$9,602","$64,625"
512,Grass Valley Elementary School District,35.79,"$12,542","$48,889"
513,Visalia Unified School District,35.81,"$11,230","$55,849"
514,Twin Rivers Unified School District,35.84,"$12,954","$46,667"
515,Woodlake Unified School District,35.88,"$13,407","$44,232"
516,Perris Union High School District,35.91,"$12,656","$48,200"
517,Castle Rock Union School District,35.93,"$14,700","$37,321"
518,Nevada City Elementary School District,35.99,"$10,506","$59,571"
519,Caruthers Unified School District,36.04,"$13,392","$44,196"
520,Coachella Valley Unified School District,36.05,"$14,930","$36,012"
521,Tulare City School District,36.07,"$11,692","$53,213"
522,Lindsay Unified School District,36.08,"$15,333","$33,854"
523,Stanislaus Union Elementary School District,36.21,"$10,810","$57,804"
524,Monte Rio Union Elementary School District,36.25,"$20,427","$57,676"
525,Weaver Union School District,36.28,"$11,997","$51,442"
526,Somis Union Elementary School District,36.29,"$11,989","$102,560"
527,Ceres Unified School District,36.3,"$11,492","$54,117"
528,San Bernardino City Unified School District,36.33,"$13,451","$43,683"
529,Caliente Union Elementary School District,36.35,"$14,900","$35,962"
530,Eureka Union Elementary School District,36.36,"$10,325","$111,454"
531,Lynwood Unified School District,36.42,"$12,352","$49,461"
532,Big Oak Flat-Groveland Unified School District,36.63,"$19,742","$61,581"
533,Firebaugh-Las Deltas Unified School District,36.69,"$13,865","$41,225"
534,Fowler Unified School District,36.77,"$12,174","$50,156"
535,Bear Valley Unified School District,36.8,"$12,137","$50,336"
536,Lemoore Union Elementary School District,36.94,"$10,583","$58,494"
537,Trinity Alps Unified School District,37.04,"$13,449","$43,191"
538,Hawthorne Elementary School District,37.16,"$12,663","$47,285"
539,Fall River Joint Unified School District,37.24,"$12,863","$46,162"
540,Delano Union Elementary School District,37.28,"$13,610","$42,169"
541,Trinidad Union Elementary School District,37.32,"$10,995","$56,042"
542,Weed Union Elementary School District,37.35,"$14,206","$38,947"
543,Los Molinos Unified School District,37.35,"$13,187","$44,362"
544,Tahoe Truckee Unified School District,37.44,"$16,401","$79,915"
545,Capay Joint Union Elementary School District,37.5,"$10,764","$57,143"
546,Northern Humboldt Union High School District,37.78,"$12,968","$45,226"
547,Brawley Union High School District,37.96,"$13,395","$42,829"
548,Middletown Unified School District,38.03,"$10,557","$57,870"
549,Scotts Valley Unified School District,38.04,"$10,590","$111,225"
550,Redondo Beach Unified School District,38.46,"$10,449","$112,271"
551,Red Bluff Union High School District,38.47,"$13,317","$42,886"
552,Enterprise Elementary School District,38.48,"$12,253","$48,532"
553,Del Norte County Unified School District,38.53,"$12,863","$45,258"
554,Burton Elementary School District,38.55,"$10,796","$56,231"
555,Upper Lake Unified School District,38.64,"$13,332","$42,688"
556,Eastside Union Elementary School District,38.7,"$12,285","$48,212"
557,Blue Lake Elementary School District,38.74,"$12,292","$48,147"
558,Mariposa County Unified School District,38.77,"$11,762","$50,944"
559,Millbrae Elementary School District,38.84,"$10,430","$112,640"
560,San Rafael High School District,38.87,"$14,012","$93,618"
561,Ukiah Unified School District,38.94,"$11,665","$51,334"
562,Los Banos Unified School District,39.09,"$11,536","$51,919"
563,Guadalupe Joint Elementary School District,39.15,"$12,762","$45,361"
564,Turlock Unified School District,39.24,"$11,075","$54,264"
565,Corning Union High School District,39.52,"$13,199","$42,774"
566,Banning Unified School District,39.69,"$13,372","$41,737"
567,San Gabriel Unified School District,39.79,"$9,086","$64,446"
568,Redding Elementary School District,40.01,"$12,057","$48,503"
569,Bakersfield Elementary School District,40.08,"$13,609","$40,201"
570,Julian Union Elementary School District,40.22,"$10,917","$54,412"
571,National Elementary School District,40.32,"$12,690","$44,916"
572,Saugus Union School District,40.34,"$10,635","$112,604"
573,Redwood City Elementary School District,40.39,"$12,031","$105,221"
574,Castro Valley Unified School District,40.4,"$10,854","$111,481"
575,Pioneer Union School District,40.43,"$11,293","$52,263"
576,Central Union High School District,40.5,"$12,429","$46,177"
577,Chowchilla Union High School District,40.63,"$11,947","$48,648"
578,Berryessa Union Elementary School District,40.63,"$10,961","$111,080"
579,Bridgeville Elementary School District,40.66,"$22,654","$48,942"
580,Keppel Union Elementary School District,40.81,"$12,165","$47,361"
581,Bass Lake Joint Union Elementary School District,40.84,"$10,375","$56,856"
582,Shiloh Elementary School District,40.86,"$10,663","$55,313"
583,Fortuna Union High School District,40.91,"$12,577","$45,105"
584,Roberts Ferry Union Elementary School District,41.18,"$11,750","$49,306"
585,Buttonwillow Union Elementary School District,41.21,"$14,078","$36,914"
586,Selma Unified School District,41.41,"$13,113","$41,902"
587,Fresno Unified School District,41.41,"$13,567","$39,488"
588,Coalinga Huron Joint Unified School District,41.42,"$12,698","$44,101"
589,Semitropic Elementary School District,41.5,"$13,851","$37,917"
590,Camptonville Union School District,41.55,"$10,239","$57,083"
591,Hesperia Unified School District,41.57,"$10,574","$55,286"
592,Coronado Unified School District,41.63,"$12,891","$101,520"
593,Newark Unified School District,41.95,"$11,681","$108,181"
594,Amador County Unified School District,41.95,"$9,411","$61,198"
595,Nuestro Elementary School District,42,"$7,436","$71,667"
596,Adelanto Elementary School District,42,"$11,686","$49,070"
597,Oak Grove Elementary School District,42.02,"$11,772","$107,744"
598,Dixie Elementary School District,42.03,"$12,037","$106,344"
599,Fort Bragg Unified School District,42.06,"$12,081","$46,927"
600,Kings Canyon Unified School District,42.36,"$12,686","$43,502"
601,Hamilton Unified School District,42.37,"$12,509","$44,438"
602,Heber Elementary School District,42.45,"$12,525","$44,293"
603,Julian Union High School District,42.48,"$21,748","$55,036"
604,Magnolia Union Elementary School District,42.57,"$10,789","$53,438"
605,Lassen View Elementary School District,42.61,"$9,963","$57,800"
606,Marysville Unified School District,42.72,"$11,862","$47,629"
607,New Haven Unified School District,42.75,"$12,313","$105,379"
608,Gerber Union Elementary School District,42.87,"$12,763","$42,734"
609,Plaza Elementary School District,42.87,"$8,809","$63,750"
610,Madera Unified School District,43,"$12,013","$46,628"
611,Colfax Elementary School District,43.04,"$10,355","$55,417"
612,Santa Clara Elementary School District,43.08,"$11,017","$112,500"
613,Kings River Elementary School District,43.08,"$12,194","$45,610"
614,Pacific Grove Unified School District,43.26,"$16,031","$85,979"
615,Exeter Unified School District,43.35,"$11,624","$48,455"
616,Bonny Doon Union Elementary,43.38,"$13,774","$98,056"
617,Happy Camp Union Elementary School District,43.48,"$14,102","$35,185"
618,Fairfax Elementary School District,43.65,"$12,043","$46,012"
619,Dunsmuir Elementary School District,43.72,"$14,368","$33,603"
620,Springville Union Elementary School District,43.82,"$9,749","$58,088"
621,Mesa Union Elementary School District,43.95,"$5,048","$144,844"
622,Planada Elementary School District,43.96,"$13,065","$40,361"
623,Mckinleyville Union Elementary School District,44,"$10,806","$52,344"
624,King City Union School District,44.05,"$11,502","$48,605"
625,Campbell Union School District,44.11,"$13,244","$101,387"
626,Lake Elementary School District,44.13,"$9,818","$57,500"
627,Reef Sunset Unified School District,44.23,"$13,050","$40,255"
628,Owens Valley Unified School District,44.26,"$24,424","$42,063"
629,Shasta Union Elementary School District,44.28,"$9,744","$57,793"
630,Westmorland Union Elementary School District,44.38,"$13,562","$37,426"
631,College Elementary School District,44.71,"$17,124","$81,184"
632,Farmersville Unified School District,45.1,"$13,268","$38,481"
633,Delano Joint Union High School District,45.29,"$13,447","$37,398"
634,Kenwood School District,45.3,"$18,950","$71,898"
635,Gridley Unified School District,45.5,"$10,900","$50,788"
636,Lakeport Unified School District,45.57,"$11,828","$45,808"
637,Colusa Unified School District,45.57,"$11,019","$50,106"
638,Pacifica School District,45.71,"$10,791","$115,555"
639,El Tejon Unified School District,45.73,"$11,846","$45,595"
640,Brawley Elementary School District,45.9,"$12,308","$43,024"
641,Poway Unified School District,46.05,"$11,181","$113,719"
642,Freshwater Elementary School District,46.23,"$10,525","$52,269"
643,Nuview Union School District,46.29,"$8,630","$62,301"
644,South Humbolot Joint Unified School District,46.32,"$12,944","$39,341"
645,Butte Valley Unified School District,46.35,"$14,000","$33,707"
646,Newport Mesa Unified School District,46.4,"$14,459","$96,542"
647,Pioneer Union Elementary School District,46.49,"$14,119","$32,981"
648,Eureka City Unified School District,46.51,"$12,082","$43,794"
649,Palo Verde Unified School District,46.53,"$12,469","$41,723"
650,Cottonwood Union Elementary School District,46.57,"$10,560","$51,842"
651,Wilsona School District,46.63,"$13,050","$38,562"
652,Meadows Elementary School District,46.83,"$12,839","$39,545"
653,Morgan Hill Unified School District,46.89,"$9,890","$121,178"
654,Pond Union Elementary School District,46.97,"$14,145","$32,500"
655,Washington Colony Elementary School District,47.01,"$11,469","$46,700"
656,Dinuba Unified School District,47.1,"$12,212","$42,690"
657,Lakeside Union Elementary School District,47.12,"$12,221","$42,625"
658,Lost Hills Union Elementary School District,47.36,"$13,729","$34,438"
659,Arvin Union School District,47.37,"$12,985","$38,387"
660,Taft City School District,47.43,"$11,580","$45,811"
661,Lancaster School District,47.48,"$11,123","$48,208"
662,Mountain Empire Unified School District,47.56,"$7,565","$67,067"
663,Greenfield Union School District,47.61,"$11,008","$48,729"
664,Victor Elementary School District,47.89,"$11,138","$47,841"
665,Mojave Unified School District,47.91,"$12,300","$41,652"
666,Woodville Elementary School District,47.94,"$14,235","$31,339"
667,Vallecitos Elementary School District,47.98,"$7,157","$68,938"
668,Klamath River Elementary School District,48.17,"$14,300","$30,833"
669,Fortuna Elementary School District,48.23,"$11,359","$46,427"
670,Calexico Unified School District,48.25,"$12,423","$40,759"
671,Atwater Elementary School District,48.26,"$10,305","$52,006"
672,Oroville Union High School District,48.27,"$12,497","$40,349"
673,Moreland School District,48.28,"$12,703","$107,199"
674,Mattole Unified School District,48.61,"$10,872","$48,750"
675,Chico Unified School District,48.7,"$10,215","$52,176"
676,Waukena Unified Elementary School District,48.72,"$12,447","$40,294"
677,Blake Elementary School District,48.76,"$15,846","$90,833"
678,Big Springs Elementary School District,48.82,"$10,391","$51,154"
679,Lagunitas Elementary School District,49.21,"$16,233","$89,091"
680,Winton School District,49.35,"$11,692","$43,866"
681,Earlimart Elementary School District,49.56,"$14,169","$30,552"
682,Dos Palos Oro-Loma Joint Unified,49.56,"$12,104","$41,528"
683,Cambrian School District,49.63,"$10,879","$117,845"
684,Parlier Unified School District,49.64,"$13,644","$33,290"
685,Cutler-Orosi Unified School District,49.65,"$12,892","$37,274"
686,South Fork Union School District,49.71,"$13,469","$34,167"
687,Merced City School District,49.74,"$11,348","$45,424"
688,Orland Joint Unified School District,49.74,"$11,159","$46,426"
689,Grenada Elementary School District,50.13,"$10,615","$49,046"
690,West Park Elementary School District,50.15,"$11,844","$42,500"
691,Oak Run Elementary School District,50.28,"$11,591","$43,750"
692,Lennox School District,50.57,"$11,495","$44,059"
693,San Jacinto Unified School District,50.76,"$10,938","$46,886"
694,Stockton City Unified School District,50.93,"$12,022","$40,998"
695,Chowchilla Elementary School District,50.99,"$10,556","$48,750"
696,Hot Springs Elementary School District,51,"$16,167","$18,917"
697,Borrego Springs Unified School District,51.19,"$12,471","$38,431"
698,Richgrove Elementary School District,51.24,"$15,589","$21,824"
699,Sunnyside Unified Elementary School District,51.25,"$13,194","$34,545"
700,Victor Valley Joint Union High School District,51.52,"$10,398","$49,219"
701,Kerman Unified School District,51.52,"$11,086","$45,559"
702,Mendocino Unified School District,51.55,"$21,468","$62,912"
703,San Francisco Unified School District,51.59,"$13,640","$104,552"
704,Red Bluff Union Elementary School District,51.82,"$12,011","$40,434"
705,Richfield Elementary School District,51.92,"$10,081","$50,625"
706,Evergreen Union Elementary School District,52.14,"$10,341","$49,085"
707,Mt Shasta Union School District,52.26,"$10,496","$48,179"
708,Clay Joint Elementary School District,52.29,"$9,561","$53,125"
709,Wasco Union Elementary School District,52.42,"$12,404","$37,925"
710,Alview Dairyland Union Elementary,52.56,"$10,858","$46,042"
711,Lamont Elementary School District,52.6,"$11,930","$40,316"
712,Calipatria Unified School District,52.6,"$13,804","$30,350"
713,Morongo Unified School District,52.71,"$11,870","$40,559"
714,Richland-Lerdo Elementary,52.89,"$11,514","$42,323"
715,Barstow Unified School District,53,"$11,482","$42,412"
716,Di Giorgio Elementary School Districtrict,53.01,"$12,607","$36,429"
717,Hydesville Elementary School District,53.07,"$9,687","$51,905"
718,Terra Bella Union Elementary School District,53.18,"$12,907","$34,712"
719,Kernville Union Elementary School District,53.43,"$12,920","$34,471"
720,Oroville City Elementary School District,53.62,"$11,387","$42,483"
721,Washington Unified School District,53.74,"$12,257","$37,778"
722,Monson Sultana Joint Union Elementary School District,54.18,"$11,440","$41,806"
723,Coast Unified School District,54.36,"$20,790","$68,490"
724,Santa Cruz City High School District,54.39,$260,"$101,094"
725,Willits Unified School District,54.66,"$11,286","$42,292"
726,Corcoran Joint Unified School District,54.72,"$12,004","$38,429"
727,Konocti Unified School District,54.79,"$12,966","$33,264"
728,Scotia Union Elementary School District,54.89,"$12,094","$37,831"
729,Porterville Unified School District,55.02,"$12,321","$36,531"
730,Needles Unified School District,55.26,"$13,191","$31,738"
731,Campbell Union High School District,55.29,"$13,228","$109,341"
732,Wasco Union High School District,55.3,"$12,037","$37,844"
733,Pixley Union Elementary School District,55.46,"$14,005","$27,269"
734,Susanville Elementary School District,55.63,"$9,188","$52,758"
735,Corning Union Elementary School District,55.74,"$11,183","$42,078"
736,Modoc Joint Unified School District,55.92,"$10,786","$44,063"
737,Healdsburg Unified School District,55.95,"$16,611","$91,827"
738,Allensworth Elementary School District,56.38,"$13,683","$28,333"
739,Cutten Elementary School District,56.57,"$9,847","$48,594"
740,Lucerne Elementary School District,56.73,"$12,110","$36,453"
741,Burlingame Elementary School District,56.76,"$10,794","$123,316"
742,Palermo Union Elementary School District,56.77,"$11,792","$38,117"
743,Mount Pleasant Elementary School District,56.79,"$14,400","$104,167"
744,Columbine Elementary School District,57,"$10,310","$45,833"
745,Potter Valley Cmty. Unif. School District,57.15,"$22,259","$62,642"
746,Geyserville Unified School District,57.26,"$18,169","$84,464"
747,Livermore Valley Joint Unified School District,57.64,"$11,323","$121,121"
748,Yreka Unified Elementary School District,57.69,"$10,825","$42,609"
749,Sunol Glen Elementary School District,57.81,"$11,792","$118,750"
750,El Centro Elementary School District,57.81,"$10,721","$43,074"
751,Apple Valley Unified School District,57.87,"$8,812","$53,184"
752,Santa Monica-Malibu Unified School District,57.89,"$15,621","$98,455"
753,Liberty Elementary School District,58.13,"$2,034","$89,028"
754,Alta Vista Elementary School District,58.13,"$12,511","$33,333"
755,Paradise Unified School District,58.17,"$9,702","$48,242"
756,Oak Park Unified School District,58.4,"$9,951","$128,954"
757,Willows Unified School District,58.66,"$9,806","$47,339"
758,Los Olivos Elementary School District,58.92,"$15,496","$99,844"
759,San Pasqual Union School District,59.05,"$10,605","$125,929"
760,Douglas City Elementary School District,59.29,"$11,297","$38,971"
761,Standard School District,59.38,"$10,468","$43,319"
762,Pleasant View Elementary School District,59.42,"$12,863","$30,556"
763,Forks Of Salmon Elementary School District,59.71,"$29,444","$26,250"
764,Thermalito Union Elementary School District,59.72,"$12,291","$33,382"
765,Buena Vista Elementary School District,60.05,"$10,533","$42,500"
766,Linns Val-Poso Flat Union School District,60.09,"$26,364","$42,891"
767,Encinitas Union Elementary School District,60.71,"$11,877","$120,336"
768,Orchard Elementary School District,60.74,"$11,384","$122,980"
769,Howell Mt Elementary School District,60.8,"$18,081","$87,422"
770,Mission Union Elementary School District,60.8,"$11,092","$39,000"
771,Arcata Elementary School District,61.07,"$12,481","$31,426"
772,Blochman Union Elementary School District,61.09,"$1,695","$88,750"
773,Taft Union High School District,61.09,"$26,005","$45,505"
774,Newcastle Elementary School District,61.33,"$4,653","$72,854"
775,Calistoga Joint Unified School District,61.43,"$18,894","$83,542"
776,Seeley Union Elementary School District,61.82,"$12,290","$31,912"
777,Rio Dell Elementary School District,61.87,"$11,306","$37,108"
778,Milpitas Unified School District,62.14,"$11,069","$125,644"
779,Washington Union Elementary School District,62.6,"$10,155","$130,824"
780,Evergreen Elementary School District,62.62,"$10,612","$128,405"
781,Tipton Elementary School District,62.89,"$11,681","$34,397"
782,Rockford Elementary School District,62.91,"$10,860","$38,750"
783,Eastern Sierra Unified School District,62.96,"$24,540","$54,605"
784,Sonora Elementary School District,63.18,"$9,250","$47,115"
785,Cardiff Elementary School District,63.2,"$14,660","$107,296"
786,Strathmore Union Elementary School District,63.4,"$12,046","$32,098"
787,Columbia Union School District,64.1,"$10,410","$40,303"
788,Cabrillo Unified School District,64.11,"$12,275","$120,614"
789,Fremont Unified School District,64.22,"$11,018","$127,374"
790,Bradley Union Elementary School District,64.39,"$4,080","$73,750"
791,Mcfarland Unified School District,65.3,"$11,191","$35,307"
792,Armona Union Elementary School District,65.38,"$9,151","$46,092"
793,San Dieguito Union High School District,65.59,"$11,201","$127,370"
794,Las Virgenes Unified School District,65.92,"$11,125","$128,000"
795,Antelope Elementary School District,66.12,"$10,369","$39,096"
796,Seiad Elementary School District,66.4,"$26,294","$47,708"
797,Plainsburg Elementary School District,67.08,"$9,308","$44,063"
798,Ross Valley School District,67.13,"$12,394","$122,108"
799,Palo Verde Union Elementary School District,67.23,"$10,472","$37,770"
800,Big Pine Unified School District,67.34,"$25,219","$54,083"
801,Buellton Union Elementary School District,67.93,"$20,154","$81,421"
802,Ducor Union Elementary School District,68.04,"$12,559","$26,103"
803,Banta Elementary School District,68.61,"$5,696","$62,188"
804,Hermosa Beach Elementary School District,70.38,"$9,988","$137,188"
805,Oak Valley Union Elementary School District,70.88,"$9,877","$38,365"
806,Waterford Unified School District,72.06,"$6,135","$57,426"
807,San Mateo-Foster City School District,72.11,"$12,491","$125,099"
808,Mendota Unified School District,72.56,"$11,212","$30,085"
809,Orick Elementary School District,73.2,"$30,368","$30,833"
810,Pacific Elementary School District,73.39,"$8,186","$45,586"
811,Southern Trinity Joint Unified School District,74.49,"$30,880","$29,022"
812,Vineland Elementary School District,75.05,"$10,880","$30,099"
813,Beardsley Elementary School District,75.81,"$10,940","$29,245"
814,Reservation Elementary School District,76.25,"$25,167","$60,625"
815,Dublin Unified School Districtrict,76.25,"$10,430","$138,970"
816,Golden Feather Union School District,76.74,"$8,078","$43,802"
817,Spreckels Union School District,77.71,"$8,916","$148,046"
818,Emery Unified School District,78.66,"$17,972","$100,568"
819,Gorman Elementary School District,78.76,$453,"$82,917"
820,New Jerusalem Elementary School District,80.06,"$5,740","$53,895"
821,Beverly Hills Unified School District,80.07,"$17,657","$103,241"
822,Elk Hills Elementary School District,80.35,"$10,620","$27,750"
823,Union Elementary School District,80.44,"$11,366","$136,941"
824,Sausalito Elementary School District,80.5,"$18,883","$97,024"
825,Acalanes Union High School District,81.7,"$14,295","$122,258"
826,Big Creek Elementary School District,81.87,"$20,797","$87,813"
827,Westside Elementary School District,82.27,"$8,238","$39,063"
828,Liberty Elementary School District,82.86,"$7,518","$42,474"
829,Belridge Elementary School District,84.16,"$28,825","$46,750"
830,Belmont-Redwood Shores Elementary School District,87.86,"$11,344","$142,277"
831,Brisbane Elementary School District,88.21,"$17,091","$111,975"
832,Happy Valley Elementary School District,89.88,"$12,217","$139,063"
833,Mountain View Whisman School District,91.56,"$14,946","$125,737"
834,Larkspur-Cole-Madera School District,91.73,"$13,931","$131,250"
835,Kentfield Elementary School District,93.02,"$14,457","$129,359"
836,Latrobe Elementary School District,94.38,"$15,562","$124,448"
837,Sunnyvale School District,95.24,"$14,530","$130,538"
838,Palos Verdes Peninsula Unified School District,95.62,"$11,907","$144,749"
839,Pleasanton Unified School District,96.31,"$11,307","$148,421"
840,Sequoia Union High School District,98.63,"$16,314","$123,438"
841,Marcum Illinois Union Elementary School District,101.58,"$1,014","$63,875"
842,Pope Valley Union Elementary School District,101.9,"$28,281","$62,125"
843,Orange Center School District,102.28,"$4,648","$44,063"
844,Alexander Valley Union Elementary School District,102.29,"$19,750","$107,750"
845,Santa Clara Unified School District,102.8,"$17,223","$121,542"
846,Carmel Unified School District,102.91,"$22,712","$92,437"
847,San Mateo High School District,102.95,"$17,001","$122,829"
848,Trona Joint Unified School District,104.11,"$5,562","$37,917"
849,La Honda Pescadero Unified School District,104.67,"$19,320","$111,712"
850,Lucerne Valley Unified School District,104.82,"$7,006","$29,741"
851,Meridian Elementary School District,104.88,$914,"$62,083"
852,Spencer Valley Elementary School District,106.14,"$1,139","$60,000"
853,Moraga School District,107.32,"$12,398","$150,372"
854,San Ramon Valley Unified School District,108.73,"$10,908","$159,284"
855,Alpaugh Unified School District,108.93,"$6,196","$31,154"
856,Ballard Elementary School District,109.64,"$16,725","$129,000"
857,Cupertino Union Elementary School District,109.69,"$11,257","$158,108"
858,Whitmore Union Elementary School District,110.57,"$2,175","$51,375"
859,Manhattan Beach Unified School District,111.16,"$12,960","$150,083"
860,Del Mar Union Elementary School District,117.04,"$14,474","$146,177"
861,Dunsmuir Joint High School District,117.27,"$35,587","$34,107"
862,Fremont Union High School District,117.94,"$14,645","$145,897"
863,Loma Prieta Joint Elementary School District,119.52,"$13,646","$152,321"
864,Willow Grove Elementary School District,120.04,"$24,357","$95,750"
865,Nicasio School District,120.07,"$22,465","$105,833"
866,Solana Beach Elementary School District,122.06,"$17,930","$131,336"
867,Feather Falls Union Elementary School District,122.25,"$5,481","$25,583"
868,Lafayette Elementary School District,122.43,"$12,299","$161,528"
869,Laguna Beach Unified School District,122.65,"$19,481","$123,507"
870,San Marino Unified School District,123.41,"$13,803","$154,224"
871,Pine Ridge Elementary School District,123.69,"$24,459","$97,778"
872,Winship-Robbins School District,123.7,"$1,048","$48,125"
873,Warner Unified School District,123.76,"$2,191","$42,009"
874,Tamalpais Union High School District,124.93,"$18,416","$130,775"
875,Mill Valley Elementary School District,126.91,"$14,946","$150,610"
876,Los Gatos Union School District,127.76,"$12,802","$162,611"
877,Shoreline Unified School District,130.05,"$28,061","$83,107"
878,Laguna Joint Elementary School District,132.26,"$26,077","$95,208"
879,St Helena Unified School District,132.96,"$27,432","$88,494"
880,Horicon Elementary School District,133.37,"$29,790","$76,250"
881,San Carlos Elementary School District,134.76,"$12,138","$171,061"
882,Oro Grande Elementary School District,141.11,"$2,035","$30,625"
883,La Canada Unified School District,141.78,"$11,594","$178,897"
884,Maricopa Unified School District,143.68,$990,"$34,375"
885,Reed Union Elementary School District,144.69,"$15,602","$159,641"
886,Mountain House Elementary School District,148.97,"$28,250","$95,417"
887,Kneeland Elementary School District,150.71,"$32,615","$73,438"
888,Ravendale-Termo Elementary School District,153.29,$809,"$28,571"
889,Alpine County Unified School District,156.48,"$35,025","$64,688"
890,Mt Vw-Los Altos Unified High School District,160.08,"$20,860","$142,519"
891,Rancho Santa Fe Elementary School District,160.14,"$21,002","$141,806"
892,Fort Ross School District,161.38,"$38,000","$52,321"
893,Mckittrick Elementary School District,169.09,"$41,221","$40,625"
894,Los Gatos-Saratoga Union High School District,170.32,"$16,723","$171,720"
895,Palo Alto Unified School District,173.72,"$20,962","$151,579"
896,Vista Del Mar Elementary School District,174.46,"$29,493","$106,750"
897,Jefferson Elementary School District,178.44,"$34,111","$85,000"
898,Big Lagoon Elementary School District,184.59,"$41,235","$51,458"
899,Coffee Creek Elementary School District,186.26,"$42,200","$47,500"
900,Cold Spring Elementary School District,189.82,"$21,918","$157,824"
901,Menlo Park City Elementary School District,190.97,"$17,368","$182,819"
902,Orinda Union Elementary School District,196,"$13,025","$209,449"
903,Saratoga Union Elementary School District,202.08,"$18,109","$186,703"
904,Los Altos Elementary School District,203.38,"$15,669","$200,585"
905,Las Lomitas Elementary School District,208.58,"$20,139","$180,481"
906,Montecito Elementary School District,218.14,"$29,215","$138,967"
907,Lincoln Elementary School District,221.93,"$37,000","$100,250"
908,Lakeside Joint School District,224.87,"$23,784","$172,574"
909,Piedmont City Unified School District,225.57,"$16,668","$210,889"
910,Death Valley Unified School District,281.06,"$57,808","$31,250"
911,Portola Valley Elementary School District,282.25,"$25,016","$206,406"
912,Panoche Elementary School District,286.8,"$57,000","$39,583"
913,Bolinas Stinson Unified School District,303.19,"$50,703","$84,596"
914,Hillsborough City School District,309.04,"$20,362","$250,000"
915,Ross Elementary School District,311.99,"$20,752","$250,000"
916,Woodside Elementary School District,338.51,"$27,516","$232,708"
917,Silver Fork Elementary School District,436.07,"$72,333","$63,125"
918,Desert Center Unified School District,440.19,"$77,200","$40,156"
919,Indian Springs Elementary School District,453.31,"$82,571","$20,833"
