Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
106,Luther Burbank Elementary School District,6.68,"$13,265","$65,536"
107,Oxnard School District,6.93,"$12,861","$67,507"
108,Fullerton Joint Union High School District,6.94,"$11,514","$74,663"
109,West Side Union Elementary School District,7.01,"$11,181","$86,250"
110,Fullerton Elementary School District,7.05,"$11,503","$74,644"
111,Duarte Unified School District,7.06,"$11,758","$73,279"
112,Rowland Unified School District,7.06,"$12,009","$71,944"
113,Gold Trail Union Elementary School District,7.17,"$9,385","$85,814"
114,Cienega Union Elementary School District,7.24,"$11,833","$72,750"
115,Waugh Elementary School District,7.27,"$9,926","$93,104"
116,Cloverdale Unified School District,7.43,"$12,660","$68,226"
117,Loleta Union Elementary School District,7.48,"$17,139","$44,375"
118,Elverta Joint Elementary School District,7.51,"$12,131","$81,546"
119,Whittier Union High School District,7.59,"$14,025","$71,534"
120,Rocklin Unified School District,7.59,"$8,990","$98,304"
121,Mark West Union Elementary School District,7.6,"$11,041","$76,711"
122,Lawndale Elementary School District,7.72,"$13,853","$61,675"
123,Galt Joint Union High School District,7.84,"$13,714","$73,363"
124,Placer Hills Union Elementary School District,7.84,"$11,198","$86,741"
125,Valley Center-Pauma Unified School District,7.94,"$12,404","$80,400"
126,Anaheim Union High School District,8.08,"$12,615","$68,002"
127,Valle Lindo Elementary School District,8.28,"$13,498","$63,167"
128,Newhall School District,8.33,"$10,068","$93,091"
129,Alta Loma Elementary School District,8.58,"$9,802","$94,682"
130,Princeton Joint Unified School District,8.64,"$15,285","$53,417"
131,Valley Home Elementary School District,8.67,"$10,479","$78,942"
132,Johnstonville Elementary School District,8.7,"$10,447","$79,091"
133,Vacaville Unified School District,8.78,"$10,517","$78,668"
134,Torrance Unified School District,8.86,"$10,632","$90,470"
135,Grant Elementary School District,8.9,"$10,191","$92,841"
136,Jefferson Elementary School District,9.02,"$11,280","$87,133"
137,Ocean View Elementary School District,9.02,"$11,586","$85,507"
138,Fillmore Unified School District,9.02,"$13,101","$64,761"
139,Chino Unified School District,9.06,"$10,448","$91,589"
140,Santa Maria Joint Union High School District,9.08,"$13,017","$65,161"
141,Westwood Unified School District,9.11,"$16,686","$45,641"
142,Alum Rock Union Elementary School District,9.33,"$13,726","$74,349"
143,Huntington Bch City Elementary School District,9.35,"$9,752","$95,490"
144,Temecula Valley Unified School District,9.42,"$9,650","$96,079"
145,Live Oak Elementary School District,9.48,"$11,961","$70,498"
146,Mupu School District,9.53,"$10,045","$94,063"
147,Cotati-Rohnert Pk Unified School District,9.66,"$12,358","$68,262"
148,Garden Grove Unified School District,9.82,"$12,765","$65,981"
149,Murrieta Valley Unified School District,9.85,"$10,906","$89,705"
150,East Nicolaus Joint Union High School District,9.88,"$11,688","$71,667"
151,Winters Joint Unified School District,9.88,"$12,174","$82,988"
152,Alvord Unified School District,9.91,"$12,822","$65,619"
153,Hemet Unified School District,9.95,"$16,755","$44,680"
154,Sonoma Valley Unified School District,10.01,"$13,009","$78,638"
155,Siskiyou Union High School District,10.06,"$16,282","$47,116"
156,Ramona City Unified School District,10.16,"$10,918","$89,864"
157,Junction City Elementary School District,10.19,"$18,357","$50,338"
158,San Lorenzo Unified School District,10.27,"$11,408","$72,877"
159,Burbank Unified School District,10.29,"$11,331","$73,277"
160,Atascadero Unified School District,10.31,"$10,597","$77,163"
161,Oak Grove Union Elementary School District,10.38,"$8,423","$88,672"
162,Cucamonga School District,10.4,"$13,640","$60,921"
163,Sweetwater Union High School District,10.51,"$12,775","$65,443"
164,Monterey Peninsula Unified School District,10.54,"$12,052","$69,263"
165,Savanna Elementary School District,10.67,"$11,568","$71,747"
166,Jurupa Unified School District,10.69,"$12,538","$66,579"
167,French Gulch-Whiskeytown Elementary School District,10.73,"$16,931","$43,194"
168,Bret Harte Union High School District,10.75,"$16,726","$59,404"
169,El Dorado Unified High School District,10.85,"$11,575","$86,856"
170,Buena Park Elementary School District,10.97,"$12,770","$65,150"
171,Junction Elementary School District,10.98,"$19,393","$45,385"
172,Bellevue Union Elementary School District,11,"$13,148","$63,118"
173,Two Rock Union School District,11.1,"$14,097","$73,625"
174,Harmony Union Elementary School District,11.11,"$13,417","$77,250"
175,Oakley Union Elementary School District,11.2,"$10,399","$93,355"
176,Brea Olinda Unified School District,11.23,"$10,267","$94,079"
